id,name,abs_mag,est_dia_min,est_dia_max,epoch,min_orb_inter,jup_tisser,e,a,i,asc_node_long,peri_arg,orb_period,peri_dist,ap_dist,mean_ano,mean_mot,hazard
3684351,(2014 QS362),24.5,0.0334622374,0.0748238376,2456897.5,.00370665,3.697,.5369873260464999,1.948040593912093,6.493552282210214,141.4013315701845,135.3763242072831,993.1055998901978,.9019674843572028,2.994113703466984,16.45711374323426,.3624992146251146,0
3684352,(2014 QT362),20.7,0.1925550782,0.4305662442,2459600.5,.216289,3.914,.3979117195789419,1.778007089623049,22.94300894363626,344.0220859474343,64.53383753480728,865.9616502345688,1.070517231167591,2.485496948078506,14.65142064033838,.4157227977734169,0
3684353,(2014 QU362),24.55,0.0327005439,0.0731206391,2459600.5,.13017,5.315,.04411371929439396,1.187621403670661,12.08444075232936,345.3193785245566,12.77802668872862,472.7324892193021,1.135231006441119,1.240011800900203,236.9606716573927,.761530058140334,0
3684354,(2014 QV362),23.4,0.0555334912,0.1241766613,2456896.5,.236543,3.591,.4242339598749471,2.136081512090406,5.634299060742827,20.02652169193504,298.9001003568865,1140.315844086629,1.229883193600628,3.042279830580183,5.659071253961004,.3157020064808037,0
3684355,(2014 QW362),22.5,0.0840533402,0.1879489824,2459600.5,.148602,4.678,.2174896172758001,1.407511744298479,14.82782249183991,141.5133210537763,127.2470886237699,609.9250462772218,1.101392553719809,1.713630934877149,202.9155971364464,.5902364597048759,0
3684635,(2014 QN363),21.0,0.1677084622,0.3750075218,2456894.5,.125473,4.223,.7803368786517714,1.449856290046621,16.09800763642474,132.1191477414742,331.0875961910303,637.6551365336195,.3184799581780035,2.581232621915239,311.0242738246378,.5645684938053024,0
3684633,(2014 QP363),20.7,0.1925550782,0.4305662442,2459600.5,.136055,5.214,.4614469154282481,1.189671546903798,7.968313098472112,130.518149777472,357.5305736912292,473.9571060670665,.6407012812122881,1.738641812595308,123.6537805945627,.7595624063690244,0
3684632,(2014 QQ363),23.7,0.0483676488,0.1081533507,2456899.5,.168558,3.422,.4884615765226303,2.289776723857899,6.89488947877193,343.2745119595789,329.8551102208638,1265.575711468307,1.171308775437446,3.408244672278351,7.555734482452057,.2844555222874276,0
3684631,(2014 QR363),24.8,0.0291443905,0.0651688382,2459600.5,.0975901,5.408,.04352163606195572,1.157221958507843,14.72193264318715,332.3575146942903,4.099447355638156,454.6983996616892,1.106857765586761,1.207586151428925,336.4375985227541,.7917335980681964,0
3684634,(2014 QV363),25.9,0.0175612318,0.0392681082,2456898.5,.0090249,4.453,.4102901195527112,1.493093129199522,7.931856847065565,332.1735921419042,299.5755997213126,666.3904618488183,.8804917707169183,2.105694487682125,28.07808457783631,.540223818632134,0
3684636,(2014 QW363),20.4,0.2210828104,0.4943561926,2459600.5,.322558,2.902,.6098155640837044,2.99469038006842,14.42730647130207,305.7382044989499,92.71987229295377,1892.894102396192,1.168481576690953,4.820899183445887,138.4857483662605,.1901849657327794,0
3684637,(2014 QY363),21.6,0.1272198785,0.2844722965,2459600.5,.198315,2.828,.6144766094096088,3.118798385690301,18.29302722533592,347.3506212419521,5.447981829459438,2011.774865957213,1.202369728219163,5.035227043161438,121.6229084604695,.1789464646824237,0
3684638,(2014 QD364),27.2,0.0096506147,0.0215794305,2459600.5,.0121902,6.147,.04150905680646556,.9856888114281436,4.010503538517352,156.5675424996146,26.61907484339829,357.4441281922898,.9447737985610752,1.026603824295212,346.8455951048563,1.007150409269936,0
3684728,(2014 QD365),24.1,0.040230458,0.0899580388,2456894.5,.125181,4.075,.3523278508122292,1.731630772659016,7.507462166673555,136.8958721756681,209.7860919976603,832.3028263064832,1.121529024127745,2.341732521190286,351.3629121134062,.4325348762752312,0
3684730,(2014 QE365),21.18,0.1543671822,0.3451755128,2459600.5,.160652,6.678,.5404884084557646,.8645385057652581,16.11072449044576,151.8123524077895,352.9754529583315,293.6127688380029,.3972654647354689,1.331811546795047,317.7898307911348,1.226104714126467,0
3684729,(2014 QG365),22.7,0.0766575574,0.1714115092,2459600.5,.168313,3.214,.5451432913386604,2.547264529435975,3.268785601698275,326.3444475903991,53.42539619813117,1484.942027536284,1.158640359949024,3.935888698922926,283.0594424243664,.2424337067200447,0
3684733,(2014 QH365),19.2,0.3841978911,0.8590926012,2459600.5,.447573,3.539,.3375186245460189,1.916051059955433,43.88964468364895,139.8462101524671,112.4209554952165,968.7440412685816,1.269348141639334,2.562753978271532,306.2043390740674,.3716151890117185,0
